detailed_work_activity,impact,intermediate_work_activity,element
"Maintain forestry, hunting, or agricultural equipment.",-0.556446553154744,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain green energy production plant equipment.,0.0,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
"Maintain inventories of materials, equipment, or products.",3.057229193385718,"Replenish inventories of materials, equipment, or products.",Monitoring and Controlling Resources
Maintain inventory of medical supplies or equipment.,-0.13792488083988363,"Replenish inventories of materials, equipment, or products.",Monitoring and Controlling Resources
Maintain inventory records.,-0.06803459491397668,Maintain operational records.,Documenting/Recording Information
Maintain knowledge of business operations.,0.10492448722213421,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain knowledge of current developments in area of expertise.,-0.4323858852985043,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain knowledge of laws or regulations.,-0.013938346169505955,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain laboratory or technical equipment.,0.07181584095948912,"Maintain electronic, computer, or other technical equipment.",Repairing and Maintaining Mechanical Equipment
Maintain locomotives or other rail equipment in good working condition.,0.07452290438918929,Maintain vehicles in working condition.,Repairing and Maintaining Mechanical Equipment
Maintain logs of production activities.,-0.3219294263386594,Maintain operational records.,Documenting/Recording Information
Maintain material moving equipment in good working condition.,-0.2757128614473383,Maintain vehicles in working condition.,Repairing and Maintaining Mechanical Equipment
Maintain mechanical equipment.,0.32422013641504144,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain medical equipment or instruments.,-0.10345902392098205,Maintain medical equipment or instruments.,Repairing and Maintaining Mechanical Equipment
Maintain medical facility records.,0.02492993396583998,Maintain health or medical records.,Documenting/Recording Information
Maintain medical laboratory equipment.,-0.04477544566601077,Maintain medical equipment or instruments.,Repairing and Maintaining Mechanical Equipment
Maintain medical or professional knowledge.,0.5350248858218589,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain medical records.,-0.015397022243910818,Maintain health or medical records.,Documenting/Recording Information
Maintain office equipment in proper operating condition.,-0.028617812761879247,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain operational records for green energy processes or other environmentally-sustainable activities.,0.01581172330531322,Maintain operational records.,Documenting/Recording Information
Maintain operational records or records systems.,0.17597665807302354,Maintain operational records.,Documenting/Recording Information
Maintain operational records.,0.5822821292772642,Maintain operational records.,Documenting/Recording Information
Maintain personnel records.,0.05046993146116696,Maintain operational records.,Documenting/Recording Information
Maintain plumbing structures or fixtures.,-0.050999086502454105,Maintain facilities or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain production or processing equipment.,-0.2499931180145758,Maintain tools or equipment.,Repairing and Maintaining Mechanical Equipment
Maintain professional knowledge or certifications.,-0.1048356079028232,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain professional social services knowledge.,-0.07795477147654273,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge
Maintain public order or security.,-0.03163811529045368,Maintain safety or security.,Performing General Physical Activities
Maintain recording or broadcasting equipment.,-0.08616835959389224,"Maintain electronic, computer, or other technical equipment.",Repairing and Maintaining Mechanical Equipment
Maintain records of customer accounts.,-0.060448093503037814,Maintain operational records.,Documenting/Recording Information
Maintain records of sales or other business transactions.,-0.2646134497480892,Maintain sales or financial records.,Documenting/Recording Information
"Maintain records, documents, or other files.",0.11470131045408039,Maintain operational records.,Documenting/Recording Information
Maintain regulatory or compliance documentation.,0.1218668448757998,Prepare legal or regulatory documents.,Documenting/Recording Information
Maintain repair or maintenance records.,-0.206628535333107,Maintain operational records.,Documenting/Recording Information
Maintain security.,-0.003972544492190533,Maintain safety or security.,Performing General Physical Activities
Maintain social services program records.,0.0699390035732872,Maintain operational records.,Documenting/Recording Information
Maintain sterile operative fields.,-0.03044545888960304,Assist healthcare practitioners during medical procedures.,Assisting and Caring for Others
Maintain student records.,-0.3968800115168918,Maintain operational records.,Documenting/Recording Information
Maintain supply or equipment inventories.,-0.03191031589147508,"Replenish inventories of materials, equipment, or products.",Monitoring and Controlling Resources
